序号,协议类型,消息前缀,静态示例,参数说明,后端参数匹配,源文件,前端用途说明,后端用途待确认,后端处理说明
1,Broadcast_Msg,CloseWebView,CloseWebView,无参数（仅 message 文本）。 [与后端对照: 不适用],不适用,src/App.vue,通知宿主/外壳关闭内嵌 WebView 或返回主应用（如 QuitToMainApp）；与 $bus CloseWebView 联动。,广播类型，未必由 Qt Server 解析；消费方依部署（浏览器壳/进程管理器）。,"非 MainWindow 文本命令；见前端 App.vue sendMessage('Broadcast_Msg','CloseWebView')。"
2,Process_Command_Return,VueClientVersion:,VueClientVersion:,parts[1]: string，Vue 前端构建版本号。 [与后端对照: 是],是,src/App.vue,上报 Vue 前端构建版本，供宿主侧版本检查/更新策略。,已由 Process 侧解析；触发 checkVueClientVersion 等逻辑。,QUARCS_Process/src/quarcsmonitor.cpp::QuarcsMonitor（Process_Command_Return） 处理 VueClientVersion 分段；与强制更新流程相关。
3,Process_Command_Return,restartQtServer,restartQtServer,无参数。 [与后端对照: 是],是,src/components/gui.vue,用户确认后请求重启 Qt 服务进程（如崩溃/卡死对话框）。,已由 Process 侧解析并执行重启 Qt Server。,QUARCS_Process/src/quarcsmonitor.cpp::QuarcsMonitor（Process_Command_Return） 分支 restartQtServer；见 gui.vue 确认后 AppSendMessage。
4,Vue_Command,AutoFlip:,AutoFlip:,parts[1]: bool 字符串 true/false。 [与后端对照: 是],是,src/App.vue,设置是否启用子午线翻转相关自动逻辑（默认/真值路径）。,同上。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""AutoFlip"""
5,Vue_Command,AutoFlip:,AutoFlip:false,parts[1]: bool 字符串 true/false。 [与后端对照: 是],是,src/components/MeridianFlipNotifier.vue,设置是否启用子午线翻转前自动流程（与 MeridianFlipNotifier 一致）。,与赤道仪/计划任务策略相关；由 Qt 保存或应用。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""AutoFlip""，载荷为 true/false"
6,Vue_Command,AutoFlip:,AutoFlip:true,parts[1]: bool 字符串 true/false。 [与后端对照: 是],是,src/components/MeridianFlipNotifier.vue,设置是否启用子午线翻转相关自动逻辑（默认/真值路径）。,同上。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""AutoFlip"""
7,Vue_Command,AutoFocus Exposure Time (ms):,AutoFocus Exposure Time (ms):,parts[1]: int，自动对焦曝光(ms)。 [与后端对照: 是],是,src/App.vue,自动对焦流程中单次曝光时间（毫秒），写入配置并同步 AutoFocus 模块。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""AutoFocus Exposure Time (ms)""，保存至 Tools/Focuser 参数"
8,Vue_Command,AutoFocusConfirm:,AutoFocusConfirm:Coarse,AutoFocusConfirm: 之后为模式枚举 Coarse|Fine|Yes|No（message.startsWith 解析）。 [与后端对照: 是],是,src/components/gui.vue,自动对焦确认：Coarse → 完整粗+精+super-fine（startAutoFocus）,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message.startsWith('AutoFocusConfirm:')，按 Coarse/Fine/Yes/No 分支
9,Vue_Command,AutoFocusConfirm:,AutoFocusConfirm:Fine,AutoFocusConfirm: 之后为模式枚举 Coarse|Fine|Yes|No（message.startsWith 解析）。 [与后端对照: 是],是,src/components/gui.vue,自动对焦确认：Fine → 仅从当前位置 HFR 精调（startAutoFocusFineHFROnly）,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message.startsWith('AutoFocusConfirm:')，按 Coarse/Fine/Yes/No 分支
10,Vue_Command,AutoFocusConfirm:,AutoFocusConfirm:No,AutoFocusConfirm: 之后为模式枚举 Coarse|Fine|Yes|No（message.startsWith 解析）。 [与后端对照: 是],是,src/components/gui.vue,自动对焦确认：No → 取消并 AutoFocusCancelled,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message.startsWith('AutoFocusConfirm:')，按 Coarse/Fine/Yes/No 分支
11,Vue_Command,AutoFocusConfirm:,AutoFocusConfirm:Yes,AutoFocusConfirm: 之后为模式枚举 Coarse|Fine|Yes|No（message.startsWith 解析）。 [与后端对照: 是],是,src/components/gui.vue,自动对焦确认：Yes → 同 Coarse 完整流程,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message.startsWith('AutoFocusConfirm:')，按 Coarse/Fine/Yes/No 分支
12,Vue_Command,Backlash:,Backlash:,parts[1]: int，回差步数。 [与后端对照: 是],是,src/App.vue,电调回差补偿（步），用于自动对焦；绑定 INDI 电调时持久化。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""Backlash"""
13,Vue_Command,BindingDevice:,BindingDevice:,parts[1]: string 设备类型; parts[2]: int 索引 | parts.size()==3。 [与后端对照: 是],是,src/components/DeviceAllocationPanel.vue,将某类设备槽位绑定到具体设备索引（设备分配面板）。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts size 3 BindingDevice:type:index → BindingDevice()
14,Vue_Command,CFWList:,CFWList:,parts[1]: string，槽位列表序列化串。 [与后端对照: 是],是,src/components/CapturePanel.vue,保存滤镜轮槽位名称列表字符串，供 getCFWList 恢复。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""CFWList"" → Tools::saveCFWList"
15,Vue_Command,CS,CS,无参数（短命令）。 [与后端对照: 否],否,src/components/Settings-Dialog-CFW.vue,滤镜轮相关短命令（Settings-Dialog-CFW）。,若 MainWindow 无显式分支则落入 Unknown message；以实际固件/版本为准。,当前 QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived 未匹配该命令前缀；可能为历史协议或与其它消息合并使用
16,Vue_Command,CalcWhiteBalance,CalcWhiteBalance,无参数或带附加段（parts[0] 为命令名）。 [与后端对照: 是],是,src/App.vue,请求对白平衡进行采样/计算（主相机图像）。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""CalcWhiteBalance"""
17,Vue_Command,CalibrationDuration:,CalibrationDuration:,parts[1]: string/数值，校准时长相关。 [与后端对照: 是],是,src/App.vue,导星校准时长等（与内置导星配置相关）；当前版本可能仅记录或忽略。,源码中可与 PHD2 移除后的忽略分支相关，需与当前分支对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | 与 GuiderFocalLength 等一并：parts[0]==… 时 Log「PHD2 removed」忽略
18,Vue_Command,CaptureImageSave,CaptureImageSave,无参数。 [与后端对照: 是],是,src/components/CapturePanel.vue,保存当前捕获图像到配置路径。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""CaptureImageSave"" → CaptureImageSave()"
19,Vue_Command,CheckBoxSpace,CheckBoxSpace,无参数。 [与后端对照: 是],是,src/components/view-settings-dialog.vue,查询/同步 UI 勾选框占用或空间信息（视图设置）。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""CheckBoxSpace"" → getCheckBoxSpace()"
20,Vue_Command,ClearCalibrationData,ClearCalibrationData,无参数。 [与后端对照: 是],是,src/components/Settings-Dialog-Guider.vue,清除内置导星校准缓存并下次强制重校。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | 与 clearGuiderData、PHD2Recalibrate 同分支 → guiderCore->clearCachedCalibration
21,Vue_Command,ClearDataPoints,ClearDataPoints,无参数。 [与后端对照: 是],是,src/components/gui.vue,清除导星/曲线数据点（GUI）。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""ClearDataPoints"""
22,Vue_Command,ClearDownloadLinks:,ClearDownloadLinks:,parts[1]: string。 [与后端对照: 是],是,src/components/ImageManagerBrowser.vue,清除图像下载链接列表（图像管理器）。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""ClearDownloadLinks"""
23,Vue_Command,ClearIndiDriver,ClearIndiDriver,无参数。 [与后端对照: 是],是,src/App.vue,清空已选 INDI 驱动列表。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""ClearIndiDriver"" → indi_Driver_Clear"
24,Vue_Command,ClearLogs,ClearLogs,无参数。 [与后端对照: 是],是,src/components/view-settings-dialog.vue,清空本地日志。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""ClearLogs"" → clearLogs()"
25,Vue_Command,ClearSloveResultList,ClearSloveResultList,无参数。 [与后端对照: 是],是,src/App.vue,清空 plate solve 结果列表（拼写 Slove 与代码一致）。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""ClearSloveResultList"""
26,Vue_Command,Coarse Step Divisions:,Coarse Step Divisions:,parts[1]: int。 [与后端对照: 是],是,src/App.vue,粗对焦分段数，写入 Focuser 配置。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""Coarse Step Divisions"""
27,Vue_Command,ConfirmIndiDevice:,ConfirmIndiDevice:,parts[1]: string 设备名; parts[2]: string 驱动名 | parts.size()==3。 [与后端对照: 是],是,src/App.vue,确认连接某 INDI 设备名与驱动名。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | ConfirmIndiDevice → indi_Device_Confirm
28,Vue_Command,ConfirmIndiDriver:,ConfirmIndiDriver:,parts[1]: string 驱动名; [parts[2]: string 波特率] | size 2 或 3。 [与后端对照: 是],是,src/App.vue,确认选择 INDI 驱动（可选波特率）。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | ConfirmIndiDriver → indi_Driver_Confirm
29,Vue_Command,DSLRCameraInfo:,DSLRCameraInfo:,parts[1..3]: 宽、高、像元(µm) 等 | parts.size()==4。 [与后端对照: 是],是,src/components/gui.vue,单反相机分辨率/像元等元信息登记。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts size 4 DSLRCameraInfo → Tools::saveDSLRsInfo 等
30,Vue_Command,DecAggression:,DecAggression:,parts[1]: string/数值（当前多为忽略）。 [与后端对照: 是],是,src/App.vue,导星 Dec  aggressive（原 PHD2 系参数）；当前可能忽略。,与 PHD2 移除注释一致。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | 同 GuiderFocalLength 忽略分支
31,Vue_Command,DeleteFile:,DeleteFile:,parts[1]: string 路径。 [与后端对照: 是],是,src/components/ImageFolder.vue,删除指定文件（图像文件夹）。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""DeleteFile"""
32,Vue_Command,DisconnectDevice:,DisconnectDevice:,parts[1]: string 设备名; parts[2]: string 类型 | size==3。 [与后端对照: 是],是,src/App.vue,按设备名与类型断开 INDI 设备。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | DisconnectDevice → DisconnectDevice(indi,…)"
33,Vue_Command,EastMinutesPastMeridian:,EastMinutesPastMeridian:,parts[1]: int 分钟。 [与后端对照: 是],是,src/App.vue,子午线东侧允许分钟数（翻转策略）。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""EastMinutesPastMeridian"""
34,Vue_Command,EndCaptureAndSolve,EndCaptureAndSolve,无参数。 [与后端对照: 是],是,src/components/gui.vue,结束循环拍摄并求解流程。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""EndCaptureAndSolve"""
35,Vue_Command,ExpTimeList:,ExpTimeList:,parts[1]: string 列表。 [与后端对照: 是],是,src/components/CapturePanel.vue,保存曝光时间列表字符串。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""ExpTimeList"" → Tools::saveExpTimeList"
36,Vue_Command,FocusLoopShooting:,FocusLoopShooting:,parts[1]: bool 字符串。 [与后端对照: 是],是,src/components/FocuserPanel.vue,电调循环拍摄开关（与对焦面板相关）。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""FocusLoopShooting"""
37,Vue_Command,FocusLoopShooting:,FocusLoopShooting:false,parts[1]: bool 字符串。 [与后端对照: 是],是,src/App.vue,电调循环拍摄开关（与对焦面板相关）。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""FocusLoopShooting"""
38,Vue_Command,GetDownloadManifest:,GetDownloadManifest:,parts[1]: string。 [与后端对照: 是],是,src/components/ImageManagerBrowser.vue,请求下载清单 JSON（图像管理器）。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""GetDownloadManifest"""
39,Vue_Command,GetImageFiles:,GetImageFiles:,parts[1]: string 路径。 [与后端对照: 是],是,src/components/ImageFolder.vue,列出指定路径图像文件。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""GetImageFiles"""
40,Vue_Command,Goto:,Goto:,parts[1]: Ra; parts[2]: Dec（弧度，见源码）| parts.size()==3。 [与后端对照: 是],是,src/App.vue,望远镜 GOTO：Ra:Dec 格式（弧度分段）。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts size 3 Goto → 解析 Ra/Dec 并 MountGoto
41,Vue_Command,GotoThenSolve:,GotoThenSolve:,parts[1]: string。 [与后端对照: 是],是,src/App.vue,GOTO 后 plate solve（载荷依实现）。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""GotoThenSolve"""
42,Vue_Command,GuiderCanvasClick:,GuiderCanvasClick:,"parts[1..4]: x,y 等 | parts.size()==5。 [与后端对照: 是]",是,src/App.vue,导星画布点击（归一化坐标等），内置导星选星。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts size 5 GuiderCanvasClick
43,Vue_Command,GuiderDecGuideDir:,GuiderDecGuideDir:,parts[1]: NORTH|SOUTH|AUTO 等。 [与后端对照: 否],否,src/App.vue,Dec 轴导星方向 NORTH/SOUTH/AUTO 等。,若主窗口无分支则可能 Unknown；GuiderCore 注释仍提及协议。,当前 QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived 未匹配该命令前缀；导星内核可能从配置或其它入口读取
44,Vue_Command,GuiderExpTimeSwitch:,GuiderExpTimeSwitch:,parts[1]: bool 字符串。 [与后端对照: 是],是,src/components/ChartComponent.vue,导星相机曝光切换。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""GuiderExpTimeSwitch"""
45,Vue_Command,GuiderFocalLength:,GuiderFocalLength:,parts[1]: string/数值（当前多为忽略）。 [与后端对照: 忽略],忽略,src/App.vue,导星焦距（旧 PHD2 系）；当前可能仅日志忽略。,已对照忽略分支。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | GuiderFocalLength 等与 PHD2 移除相关
46,Vue_Command,GuiderGain:,GuiderGain:,parts[1]: int（硬件请用 SetGuiderGain）。 [与后端对照: 部分],部分,src/App.vue,设置/同步导星相机增益（常与 saveToConfigFile 同时发）。,硬件设置请用 SetGuiderGain；单独 GuiderGain 可能不落主分支。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | 优先使用 SetGuiderGain；GuiderGain 单独或仅配置持久化时可能 Unknown
47,Vue_Command,GuiderLoopExpSwitch:,GuiderLoopExpSwitch:,parts[1]: bool 字符串。 [与后端对照: 是],是,src/components/ChartComponent.vue,导星循环曝光开关。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""GuiderLoopExpSwitch"""
48,Vue_Command,GuiderPixelSize:,GuiderPixelSize:,parts[1]: string/数值（忽略）。 [与后端对照: 是],是,src/App.vue,导星像元尺寸（旧 PHD2 系）。,忽略分支。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | 同 GuiderFocalLength 忽略
49,Vue_Command,GuiderRaGuideDir:,GuiderRaGuideDir:,parts[1]: string。 [与后端对照: 否],否,src/App.vue,Ra 轴导星方向；内置导星可能强制双向。,可能 Unknown 或仅文档/内核注释。,当前 QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived 未匹配该命令前缀；参见 GuiderCore.cpp 注释
50,Vue_Command,GuiderSwitch:,GuiderSwitch:,parts[1]: bool 字符串。 [与后端对照: 是],是,src/components/ChartComponent.vue,内置导星总开关 true/false。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""GuiderSwitch"" → guiderCore start/stop"
51,Vue_Command,ImageCFA:,ImageCFA:,parts[1]: string CFA 模式。 [与后端对照: 是],是,src/App.vue,主相机 CFA 排列字符串。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""ImageCFA"" 校验 RGGB 等"
52,Vue_Command,ImageGainB:,ImageGainB:,parts[1]: float/double。 [与后端对照: 是],是,src/App.vue,白平衡增益 B 通道。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""ImageGainB"""
53,Vue_Command,ImageGainR:,ImageGainR:,parts[1]: float/double。 [与后端对照: 是],是,src/App.vue,白平衡增益 R 通道。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""ImageGainR"""
54,Vue_Command,ImageOffset:,ImageOffset:,parts[1]: int/double offset。 [与后端对照: 是],是,src/App.vue,主相机 offset。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts[0]==""ImageOffset"""
55,Vue_Command,LoopCapture:,LoopCapture:,parts[1]: bool 字符串（后端可能未匹配）。 [与后端对照: 否],否,src/App.vue,切换 ROI/主相机循环连拍模式布尔值（App.vue LoopCapture）。,当前 mainwindow 未见 parts[0]==LoopCapture 分支，可能 Unknown。,当前 QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived 未匹配该命令前缀；连拍次数用 SetMainCameraLoopCaptureNum；模式开关待后端补全或经 SetMainCameraCaptureMode
56,Vue_Command,MaxLimit:,MaxLimit:,parts[1]: int。 [与后端对照: 是],是,src/App.vue,电调行程最大/最小限制。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | MinLimit/MaxLimit + dpFocuser
57,Vue_Command,MinLimit:,MinLimit:,parts[1]: int。 [与后端对照: 是],是,src/App.vue,电调行程最大/最小限制。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | MinLimit/MaxLimit + dpFocuser
58,Vue_Command,MountGoto:,MountGoto:,message 含逗号分段 Ra/Dec 子串，见 MountGoto 解析 | parts.size()==4。 [与后端对照: 是],是,src/components/MountControlPanel.vue,"赤道仪 GOTO（MountGoto:…,… 复杂格式）。",已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | parts size 4 MountGoto → 解析 RaDecList
59,Vue_Command,MountHome,MountHome,无参数。 [与后端对照: 是],是,src/components/MountControlPanel.vue,指向零点/ home 位。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""MountHome"""
60,Vue_Command,MountMoveAbort,MountMoveAbort,无参数。 [与后端对照: 是],是,src/components/MeridianFlipNotifier.vue,停止当前赤经赤纬移动。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""MountMoveAbort"""
61,Vue_Command,MountMoveDECStop:,MountMoveDECStop:,parts[1]: string。 [与后端对照: 是],是,src/components/MountControlPanel.vue,停止 Dec/RA 轴向点动。,已对照。,QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | MountMoveDECStop / MountMoveRAStop
62,Vue_Command,MountMoveEast,MountMoveEast,无参数。 [与后端对照: 是],是,src/components/MountControlPanel.vue,点动 East。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""MountMoveEast"""
63,Vue_Command,MountMoveNorth,MountMoveNorth,无参数。 [与后端对照: 是],是,src/components/MountControlPanel.vue,点动 North。,已对照。,"QUARCS_QT-SeverProgram/src/mainwindow.cpp::MainWindow::onMessageReceived | message==""MountMoveNorth"""
